Unnamed: 0,Time in ms,M0 in meter,MF231 in A
281,14.05,0.00012927392578125,0.1
282,14.1,0.000130802734375,0.1
283,14.15,0.00013234130859375,0.1
284,14.2,0.0001338896484375,0.1
285,14.25,0.00013544726562500002,0.1
286,14.3,0.00013701416015625002,0.1
287,14.35,0.0001385908203125,0.1
288,14.4,0.00014017626953125,0.1
289,14.45,0.00014177148437500002,0.1
290,14.5,0.00014337597656250006,0.1
291,14.55,0.00014498974609375,0.1
292,14.6,0.00014661279296875006,0.1
293,14.65,0.00014824511718750002,0.1
294,14.7,0.00014988671875,0.1
295,14.75,0.000151537109375,0.1
296,14.8,0.00015319677734375005,0.1
297,14.85,0.00015486523437500005,0.1
298,14.9,0.00015654296875000005,0.1
299,14.95,0.00015822949218750006,0.1
300,15.0,0.00015992529296875,0.1
301,15.05,0.00016162939453125006,0.1
302,15.1,0.00016334277343750002,0.1
303,15.15,0.000165064453125,0.1
304,15.2,0.00016679492187500006,0.1
305,15.25,0.00016853466796875002,0.1
306,15.3,0.00017028222656250002,0.1
307,15.35,0.00017203906250000002,0.1
308,15.4,0.00017380371093750002,0.1
309,15.45,0.00017557714843750006,0.1
310,15.5,0.00017735937500000005,0.1
311,15.55,0.00017914941406250006,0.1
312,15.6,0.0001809482421875,0.1
313,15.65,0.00018275537109375,0.1
314,15.7,0.00018457031250000008,0.1
315,15.75,0.00018639404296875,0.1
316,15.8,0.0001882255859375,0.1
317,15.85,0.0001900654296875,0.1
318,15.9,0.00019191308593750005,0.1
319,15.95,0.0001937685546875,0.1
320,16.0,0.00019563232421875,0.1
321,16.05,0.00019750439453125,0.1
322,16.1,0.0001993837890625,0.1
323,16.15,0.00020127148437500006,0.1
324,16.2,0.00020316650390625,0.1
325,16.25,0.0002050693359375,0.1
326,16.3,0.00020697998046875,0.1
327,16.35,0.0002088984375,0.1
328,16.4,0.00021082421875,0.1
329,16.45,0.00021275781250000008,0.1
330,16.5,0.00021469873046875009,0.1
331,16.55,0.00021664697265625008,0.1
332,16.6,0.00021860302734375006,0.1
333,16.65,0.00022056591796875,0.1
334,16.7,0.00022253662109375004,0.1
335,16.75,0.00022451416015625004,0.1
336,16.8,0.0002264990234375001,0.1
337,16.85,0.0002284907226562501,0.1
338,16.9,0.00023049023437500004,0.1
339,16.95,0.00023249609375000004,0.1
340,17.0,0.00023450927734375008,0.1
341,17.05,0.00023652929687500009,0.1
342,17.1,0.00023855615234375004,0.1
343,17.15,0.00024058984375000005,0.1
344,17.2,0.00024263037109375,0.1
345,17.25,0.00024467773437500005,0.1
346,17.3,0.0002467314453125,0.1
347,17.35,0.0002487919921875,0.1
348,17.4,0.00025085888671875004,0.1
349,17.45,0.00025293261718750004,0.1
350,17.5,0.0002550126953125,0.1
351,17.55,0.00025709912109375004,0.1
352,17.6,0.00025919140625000004,0.1
353,17.65,0.00026129052734375,0.1
354,17.7,0.00026339599609375005,0.1
355,17.75,0.00026550732421875005,0.1
356,17.8,0.000267625,0.1
357,17.85,0.00026974853515625004,0.1
