Time,M0,M14
18.700000,753795,492263
18.750000,758667,485096
18.800000,763547,477927
18.850000,768434,470758
18.900000,773328,463588
18.950000,778229,456420
19.000000,783137,449252
19.050000,788051,442081
19.100000,792972,434914
19.150000,797900,427744
19.200000,802834,420575
19.250000,807774,413407
19.300000,812721,406238
19.350000,817674,399068
19.400000,822632,391901
19.450000,827597,384730
19.500000,832567,377562
19.550000,837543,370393
19.600000,842525,363224
19.650000,847512,356056
19.700000,852504,348886
19.750000,857501,341717
19.800000,862504,334549
19.850000,867511,327380
19.900000,872524,320211
19.950000,877541,313042
20.000000,882563,305873
20.050000,887589,298704
20.100000,892620,291536
20.150000,897656,284365
20.200000,902695,277198
20.250000,907739,270029
20.300000,912786,262860
20.350000,917838,255690
20.400000,922893,248521
20.450000,927952,241354
20.500000,933014,234184
20.550000,938080,227015
20.600000,943150,219847
20.650000,948222,212676
20.700000,953298,205509
20.750000,958377,198340
20.800000,963459,191170
20.850000,968543,184002
20.900000,973630,176833
20.950000,978720,169664
21.000000,983812,162495
21.050000,988907,155326
21.100000,994004,148157
21.150000,999103,136794
21.200000,1004204,125431
21.250000,1009306,114068
21.300000,1014411,102704
21.350000,1019516,91342
21.400000,1024623,79977
21.450000,1029731,68616
21.500000,1034840,57251
21.550000,1039949,41694
21.600000,1045059,26136
21.650000,1050169,10580
21.700000,1055279,-4979
21.750000,1060388,-20535
21.800000,1065497,-36094
21.850000,1070605,-51651
21.900000,1075713,-67209
21.950000,1080818,-79753
22.000000,1085923,-92300
22.050000,1091026,-104846
22.100000,1096127,-117390
22.150000,1101226,-129936
22.200000,1106323,-142482
22.250000,1111418,-155027
22.300000,1116510,-167574
22.350000,1121599,-175986
22.400000,1126686,-184400
22.450000,1131770,-192813
22.500000,1136850,-201228
22.550000,1141928,-209640
22.600000,1147002,-218054
22.650000,1152072,-226468
22.700000,1157139,-234880
22.750000,1162203,-243271
22.800000,1167262,-251657
22.850000,1172318,-260048
22.900000,1177369,-268435
22.950000,1182416,-276824
23.000000,1187459,-285212
23.050000,1192497,-293602
23.100000,1197531,-301990
23.150000,1202560,-310378
23.200000,1207584,-318768
23.250000,1212603,-327155
23.300000,1217617,-335544
23.350000,1222626,-343934
23.400000,1227629,-352320
23.450000,1232627,-360711
23.500000,1237620,-369099
23.550000,1242606,-377487
23.600000,1247587,-385876
23.650000,1252561,-394265
23.700000,1257530,-402653
23.750000,1262492,-411041
23.800000,1267448,-419431
23.850000,1272397,-427819
23.900000,1277340,-436208
23.950000,1282275,-444596
24.000000,1287204,-452985
24.050000,1292126,-461373
24.100000,1297041,-469762
24.150000,1301948,-478151
24.200000,1306848,-486539
24.250000,1311741,-494928
24.300000,1316625,-503317
24.350000,1321502,-511704
24.400000,1326371,-520095
24.450000,1331232,-528481
24.500000,1336085,-536872
24.550000,1340929,-545259
24.600000,1345765,-553648
24.650000,1350593,-562037
24.700000,1355411,-570425
24.750000,1360221,-578815
24.800000,1365022,-587201
24.850000,1369814,-595592
24.900000,1374596,-603980
24.950000,1379370,-612368
25.000000,1384133,-620757
25.050000,1388888,-629146
25.100000,1393632,-637533
25.150000,1398367,-645924
25.200000,1403091,-654311
25.250000,1407806,-662701
25.300000,1412510,-671087
25.350000,1417204,-679478
25.400000,1421887,-687866
25.450000,1426560,-696255
25.500000,1431222,-704642
25.550000,1435873,-713032
25.600000,1440513,-721421
25.650000,1445142,-729808
25.700000,1449760,-738198
25.750000,1454366,-746586
25.800000,1458961,-754974
25.850000,1463544,-763364
25.900000,1468116,-771752
25.950000,1472675,-780141
26.000000,1477223,-788528
26.050000,1481758,-796919
26.100000,1486281,-805306
26.150000,1490792,-813694
26.200000,1495290,-822085
26.250000,1499775,-830471
26.300000,1504248,-838861
26.350000,1508707,-847250
26.400000,1513154,-855638
26.450000,1517587,-864026
26.500000,1522007,-872415
26.550000,1526414,-880805
26.600000,1530807,-889192
26.650000,1535187,-897581
26.700000,1539552,-905969
26.750000,1543904,-914359
26.800000,1548241,-922747
26.850000,1552565,-931135
26.900000,1556874,-939524
26.950000,1561168,-947913
27.000000,1565448,-956302
27.050000,1569713,-964689
27.100000,1573964,-973079
27.150000,1578199,-981466
27.200000,1582419,-989857
27.250000,1586624,-998244
27.300000,1590814,-1006633
27.350000,1594988,-1015022
27.400000,1599147,-1023409
27.450000,1603290,-1031800
27.500000,1607417,-1040187
27.550000,1611528,-1048576
27.600000,1615623,-1056964
27.650000,1619701,-1065354
27.700000,1623763,-1073742
27.750000,1627809,-1082130
27.800000,1631838,-1090519
27.850000,1635850,-1098908
27.900000,1639846,-1107296
27.950000,1643824,-1115684
28.000000,1647785,-1124075
28.050000,1651729,-1132461
28.100000,1655656,-1140851
28.150000,1659565,-1149239
28.200000,1663456,-1157628
28.250000,1667330,-1166017
28.300000,1671185,-1174405
28.350000,1675023,-1182794
28.400000,1678842,-1191182
28.450000,1682643,-1199571
28.500000,1686426,-1207959
28.550000,1690190,-1216349
28.600000,1693935,-1224736
28.650000,1697662,-1233126
28.700000,1701370,-1241514
28.750000,1705058,-1249902
28.800000,1708728,-1258292
28.850000,1712378,-1266679
28.900000,1716008,-1275069
28.950000,1719619,-1283456
29.000000,1723211,-1291847
29.050000,1726782,-1300233
29.100000,1730334,-1308624
29.150000,1733865,-1317011
29.200000,1737376,-1325400
29.250000,1740867,-1333788
29.300000,1744337,-1342178
29.350000,1747787,-1350566
29.400000,1751216,-1358955
29.450000,1754624,-1367342
29.500000,1758011,-1375732
29.550000,1761377,-1384121
29.600000,1764722,-1392508
29.650000,1768045,-1400898
29.700000,1771347,-1409286
29.750000,1774628,-1417675
29.800000,1777886,-1426063
29.850000,1781123,-1434452
29.900000,1784337,-1442841
29.950000,1787530,-1451229
30.000000,1790700,-1459618
30.050000,1793848,-1468006
30.100000,1796973,-1476396
30.150000,1800076,-1484783
30.200000,1803155,-1493172
30.250000,1806212,-1501560
30.300000,1809246,-1509951
30.350000,1812257,-1518337
30.400000,1815244,-1526727
30.450000,1818208,-1535115
30.500000,1821149,-1543504
30.550000,1824065,-1551893
30.600000,1826958,-1560280
30.650000,1829827,-1568671
30.700000,1832672,-1577057
30.750000,1835493,-1577669
30.800000,1838290,-1578278
30.850000,1841062,-1578888
30.900000,1843811,-1579498
30.950000,1846535,-1580107
31.000000,1849236,-1580717
31.050000,1851912,-1581328
31.100000,1854564,-1581937
31.150000,1857192,-1574768
31.200000,1859796,-1567600
31.250000,1862377,-1560430
31.300000,1864933,-1553261
31.350000,1867466,-1546093
31.400000,1869976,-1538924
31.450000,1872462,-1531755
31.500000,1874925,-1524585
31.550000,1877365,-1517418
31.600000,1879781,-1510248
31.650000,1882175,-1503079
31.700000,1884546,-1495910
31.750000,1886894,-1488742
31.800000,1889220,-1481572
31.850000,1891523,-1474404
31.900000,1893804,-1467235
31.950000,1896062,-1460066
32.000000,1898299,-1452896
32.050000,1900513,-1445729
32.100000,1902705,-1438559
32.150000,1904876,-1431390
32.200000,1907024,-1424221
32.250000,1909151,-1417053
32.300000,1911257,-1409884
32.350000,1913341,-1402714
32.400000,1915404,-1395546
32.450000,1917446,-1388377
32.500000,1919466,-1381207
32.550000,1921466,-1374040
32.600000,1923445,-1366870
32.650000,1925403,-1359701
32.700000,1927340,-1352532
32.750000,1929257,-1345364
32.800000,1931154,-1338195
32.850000,1933030,-1331025
32.900000,1934886,-1323857
32.950000,1936721,-1316688
33.000000,1938537,-1309518
33.050000,1940333,-1302351
33.100000,1942110,-1295181
33.150000,1943866,-1288012
33.200000,1945603,-1280844
33.250000,1947321,-1273674
33.300000,1949019,-1266505
33.350000,1950698,-1259337
33.400000,1952358,-1252168
33.450000,1953999,-1244999
33.500000,1955621,-1237830
33.550000,1957225,-1230662
33.600000,1958809,-1223491
33.650000,1960375,-1216323
33.700000,1961923,-1209155
33.750000,1963452,-1201986
33.800000,1964963,-1194815
33.850000,1966456,-1187649
33.900000,1967931,-1180478
33.950000,1969388,-1173310
34.000000,1970827,-1166141
34.050000,1972249,-1158973
34.100000,1973653,-1151802
34.150000,1975039,-1144635
34.200000,1976408,-1137465
34.250000,1977760,-1130296
34.300000,1979095,-1123128
34.350000,1980413,-1115959
34.400000,1981713,-1108790
34.450000,1982997,-1101620
34.500000,1984265,-1094452
34.550000,1985515,-1087284
34.600000,1986750,-1080113
34.650000,1987968,-1072946
34.700000,1989169,-1065777
34.750000,1990355,-1058606
34.800000,1991524,-1051440
34.850000,1992677,-1044269
34.900000,1993815,-1037101
34.950000,1994937,-1029931
35.000000,1996043,-1022764
35.050000,1997134,-1015594
35.100000,1998209,-1008425
35.150000,1999270,-1001256
35.200000,2000315,-994088
35.250000,2001345,-986918
35.300000,2002360,-979749
35.350000,2003360,-972582
35.400000,2004345,-965411
35.450000,2005316,-958243
35.500000,2006272,-951074
35.550000,2007214,-943906
35.600000,2008142,-936735
35.650000,2009055,-929568
35.700000,2009954,-922398
35.750000,2010840,-915229
35.800000,2011711,-908062
35.850000,2012569,-900890
35.900000,2013413,-893724
35.950000,2014243,-886554
36.000000,2015061,-879384
36.050000,2015864,-872217
36.100000,2016655,-865047
36.150000,2017433,-857878
36.200000,2018197,-850709
36.250000,2018949,-843541
36.300000,2019688,-836372
36.350000,2020414,-829202
36.400000,2021128,-822034
